Pos X,Pos Y,Pos Z,Ori X,Ori Y,Ori Z,Pos W
1.74509,-1.05332,0,0,0,0.992538,-0.121934
1.68387,-1.06989,0,0,0,0.982267,-0.187485
1.66287,-1.07985,0,0,0,0.971427,-0.23734
1.63947,-1.09345,0,0,0,0.958117,-0.286378
1.64532,-1.08303,0,0,0,0.940273,-0.340421
1.63168,-1.09596,0,0,0,0.922696,-0.385529
1.61655,-1.11849,0,0,0,0.903938,-0.427664
1.60471,-1.13474,0,0,0,0.884004,-0.467479
1.60277,-1.14269,0,0,0,0.872937,-0.487834
1.59337,-1.15843,0,0,0,-0.851483,0.524383
1.5936,-1.16813,0,0,0,-0.840558,0.541721
1.58512,-1.18709,0,0,0,-0.826074,0.563561
1.5728,-1.22787,0,0,0,-0.797742,0.602998
1.56752,-1.24667,0,0,0,-0.78412,0.620609
1.56417,-1.27323,0,0,0,-0.777788,0.628526
1.55526,-1.32055,0,0,0,-0.764669,0.644423
1.55047,-1.34964,0,0,0,-0.760422,0.649429
1.54652,-1.37552,0,0,0,-0.757629,0.652685
1.54285,-1.40056,0,0,0,-0.755559,0.65508
1.54103,-1.41369,0,0,0,-0.752836,0.658208
1.53563,-1.4534,0,0,0,-0.754596,0.656189
1.53226,-1.47814,0,0,0,-0.751723,0.65948
1.52848,-1.50883,0,0,0,-0.747324,0.66446
1.52525,-1.53996,0,0,0,-0.739586,0.673062
1.52245,-1.57485,0,0,0,-0.728396,0.685157
1.52656,-1.58113,0,0,0,-0.72181,0.692091
1.5249,-1.62432,0,0,0,-0.711211,0.702979
1.52454,-1.66421,0,0,0,-0.702701,0.711486
1.52515,-1.70501,0,0,0,-0.694844,0.71916
1.53121,-1.75926,0,0,0,-0.68469,0.728835
1.53372,-1.79876,0,0,0,-0.680037,0.733178
1.53659,-1.83666,0,0,0,-0.678633,0.734478
1.53987,-1.87816,0,0,0,-0.679804,0.733394
1.54219,-1.9493,0,0,0,-0.684656,0.728866
1.54446,-1.98888,0,0,0,-0.687471,0.726212
1.54626,-2.02556,0,0,0,-0.690472,0.723359
1.54798,-2.06401,0,0,0,-0.691601,0.72228
1.55325,-2.10927,0,0,0,-0.691659,0.722224
1.55509,-2.15098,0,0,0,-0.691099,0.72276
1.55708,-2.19377,0,0,0,-0.690034,0.723777
1.55676,-2.24231,0,0,0,-0.69154,0.722338
1.55858,-2.28401,0,0,0,-0.691525,0.722353
1.55571,-2.33107,0,0,0,-0.695666,0.718365
1.55708,-2.37392,0,0,0,-0.695238,0.71878
1.55834,-2.41133,0,0,0,-0.694169,0.719812
1.55972,-2.44906,0,0,0,-0.691543,0.722335
1.56247,-2.49824,0,0,0,-0.684676,0.728847
1.56875,-2.57664,0,0,0,-0.656282,0.754515
1.58723,-2.67279,0,0,0,-0.617116,0.786872
1.59787,-2.70984,0,0,0,-0.584063,0.811708
1.60118,-2.7298,0,0,0,-0.544516,0.83875
1.62792,-2.78914,0,0,0,-0.495836,0.868416
1.64702,-2.81542,0,0,0,-0.445282,0.895391
1.6713,-2.84317,0,0,0,-0.398712,0.917076
1.70149,-2.86446,0,0,0,-0.356716,0.934213
1.72641,-2.88546,0,0,0,-0.32714,0.944976
1.75925,-2.90941,0,0,0,-0.295656,0.955294
1.78608,-2.92072,0,0,0,-0.246254,0.969205
1.81299,-2.93502,0,0,0,-0.212754,0.977106
1.84529,-2.94513,0,0,0,-0.178997,0.98385
1.87115,-2.95464,0,0,0,-0.148692,0.988884
1.89487,-2.95765,0,0,0,-0.121845,0.992549
1.92301,-2.96434,0,0,0,-0.0963642,0.995346
1.97598,-2.97343,0,0,0,-0.0672253,0.997738
2.00753,-2.97454,0,0,0,-0.0517427,0.99866
2.03766,-2.97735,0,0,0,-0.0444764,0.99901
2.06869,-2.97999,0,0,0,-0.0411685,0.999152
2.10426,-2.98285,0,0,0,-0.0393554,0.999225
2.13567,-2.98519,0,0,0,-0.0356922,0.999363
2.17407,-2.98846,0,0,0,-0.0294203,0.999567
2.20757,-2.99006,0,0,0,-0.0205223,0.999789
2.23671,-2.99096,0,0,0,-0.0125593,0.999921
2.26547,-2.99145,0,0,0,-0.00514401,0.999987
2.2988,-2.99146,0,0,0,0.00269419,0.999996
2.33041,-2.98832,0,0,0,0.0207294,0.999785
2.35837,-2.98711,0,0,0,0.0403532,0.999185
2.39216,-2.98312,0,0,0,0.0721914,0.997391
2.41648,-2.9795,0,0,0,0.102606,0.994722
2.44869,-2.97138,0,0,0,0.13459,0.990901
2.47254,-2.9647,0,0,0,0.150588,0.988597
2.50994,-2.9502,0,0,0,0.216834,0.976209
2.52138,-2.94811,0,0,0,0.252618,0.967566
2.54965,-2.93163,0,0,0,0.291087,0.956697
2.55887,-2.92615,0,0,0,0.328504,0.944503
2.57283,-2.91353,0,0,0,0.371798,0.928313
2.5856,-2.90141,0,0,0,0.415809,0.909452
2.59506,-2.88952,0,0,0,0.456859,0.889539
2.59699,-2.87403,0,0,0,0.502608,0.864515
2.59881,-2.8574,0,0,0,0.541821,0.840494
2.60602,-2.83965,0,0,0,0.593896,0.804542
2.61065,-2.82388,0,0,0,0.62323,0.782039
2.60813,-2.80899,0,0,0,0.65077,0.759275
2.61043,-2.79303,0,0,0,0.676482,0.736459
2.61111,-2.76771,0,0,0,0.697375,0.716707
2.61168,-2.74485,0,0,0,0.705632,0.708579
2.60993,-2.68517,0,0,0,0.722808,0.691049
2.60827,-2.6524,0,0,0,0.725533,0.688188
2.60623,-2.61633,0,0,0,0.728277,0.685282
2.60402,-2.57445,0,0,0,0.729461,0.684022
2.60123,-2.53374,0,0,0,0.73146,0.681884
2.59816,-2.4916,0,0,0,0.732968,0.680263
2.59614,-2.44789,0,0,0,0.73471,0.678381
2.59245,-2.40387,0,0,0,0.736781,0.676132
2.58851,-2.35561,0,0,0,0.738572,0.674175
2.58368,-2.30334,0,0,0,0.74175,0.670676
2.57894,-2.25655,0,0,0,0.744624,0.667484
2.57426,-2.20715,0,0,0,0.747032,0.664788
2.56806,-2.15409,0,0,0,0.74686,0.664981
2.55727,-2.05924,0,0,0,0.744437,0.667693
2.5518,-1.9958,0,0,0,0.741354,0.671115
2.5473,-1.94959,0,0,0,0.740134,0.672459
2.54293,-1.90363,0,0,0,0.739549,0.673103
2.54104,-1.87517,0,0,0,0.738073,0.674721
2.53482,-1.80608,0,0,0,0.73817,0.674615
2.53106,-1.76439,0,0,0,0.738011,0.674789
2.52766,-1.70753,0,0,0,0.735886,0.677105
2.52483,-1.6734,0,0,0,0.735689,0.677319
2.52249,-1.64518,0,0,0,0.735929,0.677059
2.52226,-1.62032,0,0,0,0.734811,0.678272
2.5208,-1.60198,0,0,0,0.734205,0.678928
2.51961,-1.58679,0,0,0,0.733739,0.679432
2.51867,-1.57459,0,0,0,0.73292,0.680315
2.51815,-1.56758,0,0,0,0.732969,0.680263
